dataset,evaluator_seed,rmse,mae,rul_score
FD003,3,15.85299138826806,11.813945899009704,6.512299910365297
FD004,3,28.60498701175861,23.110722409140678,70.30096162251812
FD003,13,15.210722371044078,11.1664230966568,7.046789286768615
FD003,23,15.632462644792835,11.658651247024537,6.22138119218567
FD003,33,14.409961636816087,10.843440197110176,4.565592733344481
FD003,43,17.346881836324307,12.53266086101532,10.192136809207204
FD004,13,27.76453907457584,22.235817161298566,51.72485779019187
FD004,23,28.14093703480557,22.424551969574345,57.38320108607594
FD004,33,27.430369739115584,21.911942791554235,51.28896484613523
FD004,43,27.59105254027057,21.92360534110377,54.128357639839756
FD002,3,24.566519523051262,19.334366156787947,29.913649579610286
FD002,13,23.470597618197008,18.46709660777254,25.549549195414283
FD002,23,23.359533396034312,18.144544479929802,28.29039913755757
FD002,33,22.592104386414814,17.665968863660304,19.1755945979464
FD002,43,22.928853091674327,17.752296093347912,25.31592502094897
